# Start logging at 2023-07-31 08:03:46 CDT
[12:40:04]  apneaa: i see so powerfull for you giant head
[12:40:10]  bunhara: well tbat was easy
[12:40:11]  glint0: ayyy
[12:40:11]  muirthemne: brioBlush
[12:40:14]  glint0: there's our boy
[12:40:32]  glint0: akabecho form
[12:40:37]  truesque: Giant head trying to say bye
[12:40:42]  truesque: And we just don’t let it leave
[12:40:48]  truesque: So impolite
[12:40:59]  bunhara: you couldve just double holod for equi and algo
[12:44:04]  apneaa: bless u
[12:44:07]  apneaa: oh btw beardy
[12:44:08]  bunhara: bless you
[12:44:38]  apneaa: thank you for your service
[12:44:46]  sycocell: just found out i'm behind on stream because chat said bless you then beardy sneezed
[12:44:46]  muirthemne: brioPrayge
[12:44:54]  apneaa: oh wtf
[12:44:59]  apneaa: i know this music
[12:45:03]  apneaa: i have this one
[12:45:15]  apneaa: !song
[12:45:15]  nightbot: @Apneaa -> "Chrome Sparks - Marijuana" by David Dean Burkhart is the current song. It was requested by Redbeardy_McGee - https://youtu.be/tUX4OMkSRpI
[12:45:18]  apneaa: YES
[12:45:20]  apneaa: chrome sparks
[12:45:38]  apneaa: i discovered this song like
[12:45:39]  apneaa: holy
[12:45:41]  apneaa: years ago
[12:45:42]  bunhara: !sr childrens story slick rick
[12:45:43]  nightbot: @Bunhara -> "Children's Story" by Slick Rick - Topic has been added to the queue in position #1
[12:45:44]  apneaa: actually
[12:45:46]  apneaa: so many years ago
[12:46:00]  apneaa: 11 years ago
[12:46:02]  apneaa: monka
[12:49:19]  glint0: I can't believe spire is 20 years old already
[12:49:42]  vsnipe1: Glacier , go for the eyes ?
[12:49:48]  muirthemne: retro gaming
[12:59:12]  realsteelydanvevo: what is happening? are you not allowing yourself to attack?
[12:59:20]  realsteelydanvevo: oh nvm
[12:59:38]  duncanarchib: !plan
[12:59:43]  realsteelydanvevo: got it
[12:59:51]  muirthemne: cakeumNoted
[13:03:26]  sycocell: my wife loves this song
[13:07:14]  muirthemne: ❓
[13:11:57]  muirthemne: PrideShrug
[13:13:06]  duncanarchib: these shapes comin in hot what is this?
[13:14:16]  duncanarchib: like is that the second highest turn 1 damage after triple jaw worm?
[13:18:27]  muirthemne: flushedW
[13:22:40]  leprochauninja: medkit is cool
[13:22:56]  leprochauninja: you already have the overclock
[13:36:06]  sycocell: @Redbeardy_McGee halfway to an 11 hour run Pog
[13:36:26]  sycocell: oh i was looking at stream time but close enough lol
[13:42:00]  apneaa: coach about to take a vacation to thailand monkaS and his run is at a severe chance of dying
[13:42:18]  apneaa: if he does die and take the vacation
[13:42:21]  apneaa: this streak
[13:42:26]  apneaa: might not happen this year
[13:42:46]  nerdbusta1: I haven’t seen Merl stream in a while
[13:42:56]  nerdbusta1: Did he give up on the challenge?
[13:42:58]  apneaa: merl is not feeling good on watcher for now
[13:43:00]  apneaa: he also has
[13:43:03]  apneaa: irl obligations
[13:43:05]  apneaa: now
[13:43:33]  apneaa: so we'll see if he comes back to it
[13:43:37]  apneaa: but not sure
[13:43:59]  nerdbusta1: 50-0 is quite a feat. I had some hopes, but guessing it will take a long time for someone to break that
[13:44:25]  apneaa: i said
[13:44:31]  apneaa: if coach doesn't take big breaks
[13:44:33]  apneaa: it will happen
[13:44:51]  apneaa: but as it's look it's the second almost month long break incoming
[13:45:03]  nerdbusta1: CaitlynS
[13:47:56]  apneaa: this is completly irrelevant to anything going on right now
[13:48:05]  apneaa: but i might finally get rid of my allergy problem
[13:48:13]  nerdbusta1: Kreygasm
[13:48:30]  apneaa: i
[13:48:36]  apneaa: dont know what i'll do with the name tho
[13:48:50]  apneaa: do i deserve to be named apneaa if i'm not fighting for breathing half the year
[13:48:52]  apneaa: ?
[13:49:30]  apneaa: monkaS
[13:49:44]  apneaa: what if my diving capacities will go down after being cured monkaS
[13:49:48]  apneaa: oh no monkaS
[13:49:53]  apneaa: i'm gonna loose my super power
[13:49:54]  apneaa: monkaS
[13:51:35]  apneaa: if they cant cure it
[13:51:36]  nerdbusta1: You will have a new super power
[13:51:42]  apneaa: i might have to get my nose operated
[13:51:43]  nerdbusta1: Breathing KomodoHype
[13:51:43]  apneaa: :/
[13:52:00]  apneaa: @nerdbusta1 pog
[13:52:14]  apneaa: it's all down to this blood test
[13:52:14]  nerdbusta1: Gl @apneaa GayPride
[13:52:37]  muirthemne: monkaS
[13:52:40]  apneaa: if my blood test indicate that i'm severely allergic(i might be....) then they cant do a second desensibilisation
[14:03:40]  captainfalcum: moneym59JAM
[14:12:48]  enriqueque: L00P
[14:13:19]  paparatto18: !sr time eater
[14:13:20]  nightbot: @paparatto18 -> "How to get TIME EATER SONIC (TIME EATER SPECIAL) BADGE in SONIC RP+ (BETA) - Roblox" by DigitizedPixels has been added to the queue in position #1
[14:13:40]  captainfalcum: ban papa
[14:13:53]  paparatto18: - Roblox
[14:16:52]  paparatto18: !sr watch this
[14:16:53]  nightbot: @paparatto18 -> "Lil Uzi Vert - Watch This (ARIZONATEARS Pluggnb Remix) Lyrics" by Creative Chaos has been added to the queue in position #1
[14:18:25]  sycocell: just searched "watch this" on youtube and there's a surprising number of videos about "DON'T BUY THIS WATCH" there's content for everything
[14:19:03]  captainfalcum: !sr tyler creator I think audio
[14:19:04]  nightbot: @CaptainFalcum -> "Tyler, The Creator - I THINK (feat. Solange)" by David Dean Burkhart has been added to the queue in position #1
[14:19:27]  paparatto18: !sr wayne shorter yes or no
